,Zeit,Temperatur,Druck,Luftfeuchtigkeit
199,2020/02/29 - 09:16:05,21.2,990.0,31.8
200,2020/02/29 - 09:16:10,21.3,990.0,31.9
201,2020/02/29 - 09:16:15,21.2,990.0,31.9
202,2020/02/29 - 09:16:20,21.2,990.0,31.8
203,2020/02/29 - 09:16:25,21.2,990.0,32.0
204,2020/02/29 - 09:16:30,21.2,990.0,31.9
205,2020/02/29 - 09:16:35,21.2,990.0,31.9
206,2020/02/29 - 09:16:40,21.2,990.0,32.0
207,2020/02/29 - 09:16:45,21.2,990.0,32.0
208,2020/02/29 - 09:16:50,21.1,990.0,32.1
209,2020/02/29 - 09:16:55,21.2,990.0,32.1
210,2020/02/29 - 09:17:00,21.2,990.0,32.1
211,2020/02/29 - 09:17:05,21.2,990.0,32.0
212,2020/02/29 - 09:17:10,21.2,990.0,32.0
213,2020/02/29 - 09:17:15,21.2,990.0,32.0
214,2020/02/29 - 09:17:20,21.2,990.0,32.0
215,2020/02/29 - 09:17:25,21.2,990.0,32.0
216,2020/02/29 - 09:17:30,21.2,990.0,31.9
217,2020/02/29 - 09:17:35,21.2,990.0,32.1
218,2020/02/29 - 09:17:40,21.3,990.0,32.0
219,2020/02/29 - 09:17:45,21.2,990.0,31.9
220,2020/02/29 - 09:17:50,21.1,990.0,31.9
221,2020/02/29 - 09:17:55,21.1,990.0,32.1
222,2020/02/29 - 09:18:00,21.1,990.0,32.1
223,2020/02/29 - 09:18:05,21.1,990.0,32.1
224,2020/02/29 - 09:18:10,21.1,990.0,32.2
225,2020/02/29 - 09:18:15,21.2,990.0,32.3
226,2020/02/29 - 09:18:20,21.2,990.0,33.4
227,2020/02/29 - 09:18:25,21.1,990.0,32.9
228,2020/02/29 - 09:18:30,21.1,990.0,33.0
229,2020/02/29 - 09:18:35,20.9,990.0,33.4
230,2020/02/29 - 09:18:40,20.8,990.0,33.5
231,2020/02/29 - 09:18:45,20.8,990.0,33.5
232,2020/02/29 - 09:18:50,20.9,990.0,33.4
233,2020/02/29 - 09:18:55,20.9,990.0,33.4
